image,ground_truth,prediction,cer
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/1.jpg,"Viết tiếp về vụ anh Trương Xuân Đại. Ngay từ khi tờ báo có bài "" Số phận của","Việc tiếp việc anh Trương Xuân Đại. Ngày tự khí, tôi bảo "" có gì phải của",0.3157894736842105
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/2.jpg,"những người nói lên sự thật "" phát hành, nhiều bạn đọc đã bày tỏ sự chia sẻ,","những người mới lên sự thật "" phát hành, nhân làm đạo đất bằng tố cáo, chia sẻ,",0.2631578947368421
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/3.jpg,ủng hộ anh Trương Xuân Đại. Một bạn đọc 67 tuổi ở Q.11 đến gửi tặng anh Trương,"ứng hộ anh Trương Xuân Đại. Mặt bом đạc 6,7 tuổi ở Q.1, tiền "" gửi "" tông anh Trương",0.19230769230769232
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/4.jpg,"Xuân Đại 150.000 đồng, một cô gái tên Nhung ở Tân Bình gửi tặng 100.000 đ,","Xuân Đại 150.000 đồng, một số người trên thùng ở Tân Bình gửi tổng 100.000 đ,",0.12162162162162163
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/5.jpg,một thanh niên tên Hà đến gửi 200.000 đ. Sau đó nữa là rất,"một thanh niên tên Hà đến quận 200.000. Sau đó mua là bảy,",0.20689655172413793
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/6.jpg,"nhiều bạn đọc gọi đến bày tỏ sự chia sẻ, ủng hộ.",nhiều bản địa các phố đến bây giờ chỉ có cưng hồ.,0.4791666666666667
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/7.jpg,Ban biên tập báo Tuổi Trẻ cũng quyết định gửi tặng nhóm công nhân,"Ban liên lạc báo "" tuổi "" từ cùng quyền định giá tổng nhanh công nhân",0.3076923076923077
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/8.jpg,đã tố cáo tiêu cực ở đường liên cảng A5 10 triệu đồng. Đừng để người dân,"đến tốc độ tiến cực ở đường liên cảng A5 10 tuần đông. Đáng, để nghiên cứu",0.3055555555555556
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/9.jpg,"đặt cược cho niềm tin! Qua báo chí, bản thân tôi đã được biết về việc tố cáo những","đặc cuộc cho niềm tin! Qua bốn chị, bạn thân tôi đã kiệt về với tôi là những",0.2682926829268293
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/10.jpg,"sai phạm của công rình đường liên cảng A5 mấy năm trước đây, nhưng nay","Đại phạm của công trình đường liên cảng A5 mang năm trước đây, nhưng nay",0.08571428571428572
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/11.jpg,mới biết việc làm dũng cảm và tốt đẹp đó đã mang đến bao hệ lụy phiền phức,"mái biệt "" việc làm chúng còi và tốt đẹp đã mang đến bao bì lòng phận, phục",0.28378378378378377
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/12.jpg,"cho những người trong cuộc, những người mà theo tôi vô cùng xứng đáng với danh","cho người sống mà, những người mà "" chơi sôi vù "" cũng không đảm bảo sự đón",0.48717948717948717
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/13.jpg,hiệu hiệp sĩ.,hẹn không rõ.,0.6923076923076923
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/14.jpg,"Thế nhưng những hiệp sĩ ấy giờ ra sao? Người thì lang thang, phiêu bạt, kẻ thì","Thế nhưng những hiệp nụ áy gì ra sao? Ngoài thì bây thang, phẫu bày, kể như",0.23076923076923078
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/15.jpg,"vợ bỏ, kẻ thì cày ải trên những con đường đô thị để lượm ve chai, phải tá túc trong",""" có bố? Hệ thứ cấp và tầm co chừng, đó chỉ để lượm ve chai, phải là tù công",0.4457831325301205
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/16.jpg,những căn chòi tạm bợ sống qua ngày. Ngẫm sao mà thương thế! Đáng lẽ phải được,"những con thật loạn bị ngây gan ngày. Ngồi nơi môi trường, chật ống lệ phải chạm",0.44871794871794873
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/17.jpg,tôn vinh thì trái lại những con người ấy đã bị đẩy xuống đáy cùng của cuộc,"tôi sinh thế trời lưu những con người ấy đã bị dây xuống đáy cùng con ít cái,",0.21621621621621623
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/18.jpg,"sống! Cũng may mà anh Đại đã thắng kiện, đó chắc là một niềm an ủi và","công! Cũng may mà anh Đan đã những hiếu, đó chắc là niềm cãi vùi",0.2753623188405797
