image,ground_truth,prediction,cer
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/1.jpg,"Viết tiếp về vụ anh Trương Xuân Đại. Ngay từ khi tờ báo có bài "" Số phận của","Vui tôi tiếp vẫn muốn tham gia Xuân Đại. Ngày tôi thôi tự bảo ""cô phẩm của""",0.4868421052631579
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/2.jpg,"những người nói lên sự thật "" phát hành, nhiều bạn đọc đã bày tỏ sự chia sẻ,","making no doubt lei is that that's what's in, there's been a lot of big to us this set.",0.7236842105263158
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/3.jpg,ủng hộ anh Trương Xuân Đại. Một bạn đọc 67 tuổi ở Q.11 đến gửi tặng anh Trương,ng họ anh Trường Xuân Đại. Mặt bàn đác 6 tầng là 8 Q. Miền gửi tặng anh Trường,0.2564102564102564
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/4.jpg,"Xuân Đại 150.000 đồng, một cô gái tên Nhung ở Tân Bình gửi tặng 100.000 đ,","yīcuān Dùn 150.000 zhāng, mǎi cǎo gēn lǐn Nìngyù? Tūn Bǐnzhū gōng fēng 100.000,",0.4594594594594595
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/5.jpg,một thanh niên tên Hà đến gửi 200.000 đ. Sau đó nữa là rất,mẹ thành mẹ nữ Hai đến quý 200.000. Sand và mẹ là mẹ!,0.46551724137931033
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/6.jpg,"nhiều bạn đọc gọi đến bày tỏ sự chia sẻ, ủng hộ.","whānui hān dat cā tei 'n bāy kā nē chān sē, cāng hē.",0.5416666666666666
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/7.jpg,Ban biên tập báo Tuổi Trẻ cũng quyết định gửi tặng nhóm công nhân,Bạn liên hệ bao 'tâm' từ cùng quyên 'Tình qua tây nhóm' cùng nhóm,0.4307692307692308
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/8.jpg,đã tố cáo tiêu cực ở đường liên cảng A5 10 triệu đồng. Đừng để người dân,"để tôi có thân cuộc ở đây, bạn cộng A5 10 năm đây. Đây, để người bạn",0.4305555555555556
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/9.jpg,"đặt cược cho niềm tin! Qua báo chí, bản thân tôi đã được biết về việc tố cáo những","đặc cuộc cho mình tình! Emua bạn chị, bạn thân bạn đến đây lên vui lòng tôi cho những",0.43902439024390244
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/10.jpg,"sai phạm của công rình đường liên cảng A5 mấy năm trước đây, nhưng nay","dai pham cuoi cong minh chuyen bien cong A5 mong minh duoi cty, nhung ngu",0.4857142857142857
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/11.jpg,mới biết việc làm dũng cảm và tốt đẹp đó đã mang đến bao hệ lụy phiền phức,may luckier since I'm doing something I've always dreamed of.,0.7837837837837838
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/12.jpg,"cho những người trong cuộc, những người mà theo tôi vô cùng xứng đáng với danh","cho người thay mặt, những người mà ""cho thế"" vừa xứng đáng hay vừa đang",0.4358974358974359
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/13.jpg,hiệu hiệp sĩ.,him angry,0.7692307692307693
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/14.jpg,"Thế nhưng những hiệp sĩ ấy giờ ra sao? Người thì lang thang, phiêu bạt, kẻ thì","the shining shining shines in my eyes, you make me so. Nymer the boy thing I prefer her, he's she.",0.7692307692307693
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/15.jpg,"vợ bỏ, kẻ thì cày ải trên những con đường đô thị để lượm ve chai, phải tá túc trong","""ao hò?"", hè thị hãy ăn quan trọng, do như tất cả hôm vợ cháu, phải ăn tất cả ngày.",0.6024096385542169
